,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6,v2,v3,v5,v6,v7.1,v7.2,v7.3,v7.4,v7.5,v7.6,v7.7,v7.8,v7.9,v7.10,v7.11,v8.1,v8.2,v8.3,v8.4,v8.5,v8.6,v8.7,v8.8,v8.9,v9.1,v9.2,v9.3,v9.4,v10.1,v10.2,v10.3,v10.4,v10.5,v10.6,v11,v12,v13,v14,v15,v16.1,v16.2,v17.1,v17.2,v18.1,v18.2,v19,v20.1,v20.2,v20.3,v21.1,v21.2,v21.3,v21.4,v21.5,v21.6,v21.7,v21.8,v21.9,v21.10,v22,v23,v24,v25,v26,v27.1,v27.2,v27.3,v27.4,v27.5,v27.6,v28.1,v28.2,v28.3,v28.4,v28.5,v28.6,v29,v30,v31,v32,v33,v34,v35,v36.1,v36.2,v36.3,v36.4,v36.5,v36.6,v37.1,v37.2,v37.3,v37.4,v37.5,v37.6,v37.7,v37.8,v37.9,v37.10,v37.11,v37.12,v37.13,v37.14,v37.15,v37.16,v37.17,v37.18,v37.19,v38.1,v38.2,v38.3,v38.4,v39.1,v39.2,v39.3,v39.4,v39.5,v39.6,v39.7,v39.8,v39.9,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53.1,v53.2,v53.3,v53.4,v54.1,v54.2,v54.3,v55,v56.1,v56.2,v56.3,v57,v58.1,v58.2,v58.3,v58.4,v58.5,v59,v60.1,v60.2,v60.3,v60.4,v60.5,v61.1,v61.2,v61.3,v62,v63,v64.1,v64.2,v64.3,v64.4,v64.5,v64.6,v65,v66.1,v66.2,v66.3,v66.4,v67.1,v67.2,v67.3,v67.4,v67.5,v68,v69.1,v69.2,v69.3,v69.4,v69.5,v69.6,v69.7,v69.8,v69.9,v69.10,v69.11,v69.12,v69.13,v70,v71.1,v71.2,v71.3,v71.4,v71.5,v72,v73,v74.1,v74.2,v74.3,v74.4,v74.5,v74.6,v74.7,v74.8,v75,v76.1,v76.2,v76.3,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,SQ1,SQ2,SQ3,resq3,SQ4.1,SQ4.2,SQ5,SQ6,SQ7,SQ9,SQ10,SQ11,Q1,Q2,Q3,Q4,Q5
1,1,2,2,1,1,3,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,3,1,3,2,3,3,4,4,4,2,8,8,6,0,8,3,4,3,2,1,2,1,3,1,3,1,5,5,1,1,4,1,1,3,5,5,3,2,2,2,2,1,1,2,1,2,NA,1,3,NA,3,NA,4,5,6,3,3,4,6,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,4,2,8,1,10,8,1,8,1,1,8,9,5,2,1,0,6,7,2,1,2,2,2,5,3,4,2,2,4,7,3,7,3,2,3,8,2,3,3,2,3,2,4,4,4,4,4,5,5,5,5,5,1,2,3,3,2,3,2,4,4,4,2,7,7,5,5,3,8,8,5,5,1,1,8,8,8,8,8,1,1,1,2,1,1,1,1,1,3,4,2,2,1,2,1,1,1,1,3,4,4,4,5,8,8,8,2,1,1,4,2,5,2,83,27,1,2,2,1,1,9,2,1,2,2,2,1,6,1
2,1,2,2,2,1,1,2,2,7,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,3,1,2,1,2,3,3,4,2,1,5,5,1,2,3,2,1,3,1,1,2,1,3,1,1,3,1,1,2,4,2,3,1,2,2,1,3,2,2,3,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,7,7,3,3,4,8,6,1,2,2,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,8,6,9,9,2,5,7,7,9,9,8,2,1,2,1,1,1,1,1,2,2,8,3,3,9,2,8,10,9,6,2,2,2,7,3,3,3,2,3,2,4,4,4,4,4,5,1,5,5,5,1,2,2,2,2,3,2,4,4,4,3,8,9,8,7,8,9,3,3,1,2,2,3,3,5,3,1,1,1,1,2,3,2,2,3,2,5,1,2,2,1,5,4,3,2,2,2,2,1,1,1,6,3,4,2,2,1,2,3,6,2,76,35,2,2,2,1,1,8,2,5,2,3,2,1,6,1
3,1,2,2,1,1,1,2,2,5,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,3,7,5,6,NA,7,2,4,1,2,2,1,1,3,1,1,3,5,3,4,1,4,3,2,1,3,5,3,2,2,2,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,7,3,4,6,5,4,1,3,2,3,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,2,8,4,8,7,7,8,4,5,10,10,8,2,1,2,1,1,1,1,1,2,2,10,3,2,3,2,5,8,7,7,3,3,4,9,1,3,3,3,3,2,3,2,3,4,4,1,1,5,5,5,1,2,2,3,3,3,1,4,4,4,4,3,3,9,9,3,3,2,3,1,1,1,3,2,8,3,5,1,1,1,2,1,1,1,1,3,1,2,1,3,1,3,NA,2,1,1,3,1,1,1,2,9,7,9,2,2,1,2,3,5,2,80,30,2,2,2,1,1,9,1,3,2,1,1,1,6,1
4,1,2,1,2,2,2,2,2,8,2,1,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,2,2,2,1,1,3,2,2,2,3,3,3,3,8,8,1,2,8,1,3,1,3,2,1,1,3,1,3,2,4,2,2,3,3,2,2,2,2,5,3,2,2,2,1,3,2,3,3,2,1,NA,NA,NA,NA,NA,9,8,5,2,2,3,8,1,2,2,4,2,2,2,2,2,2,4,2,3,2,2,3,3,2,2,2,2,2,2,2,2,3,3,4,2,8,2,9,9,1,9,1,9,9,10,8,2,1,7,2,3,1,1,2,2,2,9,3,3,3,2,7,9,8,4,3,2,3,7,2,3,3,3,3,2,4,4,4,4,4,1,1,5,5,5,2,2,2,2,2,2,2,4,4,4,4,7,7,7,7,4,7,1,3,1,1,1,4,3,5,5,5,1,1,1,2,2,2,2,2,2,3,3,1,2,2,1,1,1,1,1,3,1,1,1,1,9,9,9,2,2,1,1,2,8,2,70,40,3,2,2,1,1,9,2,5,3,3,2,1,6,1
5,1,1,1,2,2,1,2,2,6,1,1,0,1,0,0,1,0,1,0,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,3,2,4,4,4,3,5,5,1,1,2,3,1,1,2,2,1,1,3,1,1,1,6,3,2,3,4,2,2,1,2,1,1,1,2,3,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,5,5,7,1,5,1,5,1,2,1,3,1,1,1,2,2,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,2,4,2,10,3,10,10,1,9,5,1,10,10,5,3,1,1,2,1,1,1,1,1,2,10,3,4,3,1,4,9,6,8,0,0,0,4,1,4,3,2,1,2,3,3,3,4,4,5,1,5,5,5,1,1,1,1,1,1,2,4,4,4,1,7,9,3,3,8,3,6,1,1,1,1,5,5,5,5,1,1,1,1,2,2,1,2,2,1,5,2,1,3,5,5,1,3,NA,3,2,2,1,1,2,10,7,6,2,2,1,4,3,3,2,66,44,3,2,2,1,1,9,2,5,2,2,1,1,6,1
6,1,1,1,1,1,1,1,2,9,1,2,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,3,3,3,2,2,3,4,4,4,2,10,10,1,2,5,1,4,2,4,3,2,1,1,1,3,3,5,2,2,2,2,1,2,2,3,5,3,1,2,2,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,4,7,6,1,1,1,8,1,1,1,2,2,2,1,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,4,2,4,1,10,6,10,10,1,10,8,5,10,10,7,2,1,2,1,1,1,1,1,2,2,10,1,3,3,2,6,8,5,9,3,3,4,9,3,4,4,4,3,2,4,4,4,4,4,1,5,5,5,5,1,1,1,1,1,1,2,4,4,4,4,10,10,2,2,1,9,3,1,1,1,1,4,2,3,3,1,1,1,1,2,1,1,1,1,1,5,5,1,3,1,1,1,2,1,1,3,4,2,1,6,9,8,9,2,2,1,2,3,6,2,60,51,4,2,2,1,1,9,2,3,2,2,1,1,6,1
7,1,2,1,1,1,2,2,2,5,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,2,2,2,1,2,1,2,2,4,4,4,1,8,9,1,3,3,1,2,3,1,1,2,1,3,1,1,4,3,2,3,4,2,5,2,3,3,1,2,2,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,5,4,4,1,4,1,8,1,2,2,3,3,4,3,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,3,2,1,2,1,3,1,10,3,10,10,3,6,7,5,7,9,9,2,2,2,4,4,2,1,1,2,1,7,3,3,2,2,7,10,9,5,1,4,3,10,2,3,4,2,3,2,4,4,4,4,4,1,1,5,5,5,2,3,3,3,3,3,2,4,4,3,3,8,8,8,4,5,9,4,1,1,1,1,1,1,3,3,1,1,1,1,1,3,2,2,3,3,5,3,2,4,1,3,5,5,5,2,1,2,2,2,2,3,2,7,1,2,1,3,3,6,2,47,63,5,2,2,1,1,7,2,2,2,3,1,1,6,1
8,1,1,2,3,1,4,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,1,3,4,2,3,3,2,9,8,2,0,5,3,4,3,1,1,2,1,3,1,3,6,5,3,5,4,4,5,2,4,3,5,2,1,2,3,3,3,2,3,2,2,NA,NA,NA,NA,NA,NA,5,10,8,9,2,7,8,1,2,2,3,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,9,2,9,6,8,9,4,2,9,10,8,2,2,0,6,7,2,2,2,1,2,1,4,3,4,2,5,8,2,9,3,2,2,5,2,3,4,2,3,2,4,4,4,4,4,5,5,5,5,5,1,2,1,1,1,2,2,4,4,4,4,9,8,8,5,9,9,7,1,1,1,1,1,1,9,10,1,1,1,1,2,2,2,2,3,3,5,4,2,4,1,1,1,1,1,2,3,2,2,1,6,3,3,3,2,2,1,3,3,7,1,83,26,1,2,2,1,1,9,2,6,2,2,1,1,6,1
9,1,2,2,2,2,2,2,2,8,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,2,1,2,1,2,3,3,3,3,3,6,7,6,0,8,3,2,2,1,2,1,1,3,1,1,3,4,3,4,3,4,3,3,3,4,5,1,1,2,2,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,4,7,8,3,3,2,7,1,2,2,3,3,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,1,1,1,1,1,3,2,4,3,7,1,8,7,1,8,3,1,10,10,3,2,2,1,2,4,1,1,2,2,2,6,3,4,4,9,3,7,4,7,2,5,2,88,2,3,4,2,2,2,4,3,2,3,4,5,5,5,5,5,2,2,2,2,2,2,2,4,4,4,4,8,8,3,3,3,6,7,2,1,1,1,4,2,6,4,2,1,1,2,2,2,2,2,2,3,3,4,1,3,1,4,1,1,1,1,3,1,1,1,2,8,3,7,2,2,1,1,2,7,1,84,26,1,2,2,1,1,9,2,1,2,2,2,1,6,1
10,1,1,2,2,1,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,2,5,3,6,0,3,1,2,2,3,2,1,1,3,1,3,2,5,2,2,5,3,4,2,3,4,1,3,2,2,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,7,7,5,4,4,7,5,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,4,2,8,2,9,9,2,10,8,7,8,9,7,2,1,0,6,7,3,2,2,2,2,8,4,3,3,2,8,9,8,7,3,2,2,4,3,2,3,2,3,5,5,3,3,4,4,1,1,5,5,5,1,2,2,2,2,2,2,3,2,3,2,9,9,7,6,4,8,3,3,2,2,2,4,4,5,5,4,4,4,4,3,3,2,2,3,2,7,2,2,5,1,4,2,1,2,3,3,2,1,1,1,5,4,4,2,2,2,2,3,2,1,77,34,2,2,2,1,1,8,1,7,2,3,1,1,6,1
