name,초중고,설립년도,설립형태,소재지도로명주소,시도교육청,교육지원청,위도,경도
대구국우초등학교,초등학교,2022,공립,대구광역시 북구 도남중앙로10길 45,대구광역시교육청,대구광역시서부교육지원청,35.95594145,128.5856286
대전원신흥중학교,중학교,2022,공립,대전광역시 유성구 동서대로735번길 20,대전광역시교육청,대전광역시서부교육지원청,36.33301958,127.3453452
서울위례솔초등학교,초등학교,2022,공립,서울특별시 송파구 위례북로2길 12,서울특별시교육청,서울특별시강동송파교육지원청,37.48663746,127.1509109
위례솔중학교,중학교,2022,공립,서울특별시 송파구 위례북로2길 10,서울특별시교육청,서울특별시교육청,37.48738292,127.1503042
은하수초등학교,초등학교,2022,공립,경상남도 진주시 진주역로73번길 7,경상남도교육청,경상남도진주교육지원청,35.15124455,128.1108115
치동중학교,중학교,2022,공립,경기도 화성시 동탄순환대로 881-9,경기도교육청,경기도화성오산교육지원청,37.20853778,127.0917164
이솔고등학교,고등학교,2022,공립,경기도 화성시 동탄순환대로7길 10,경기도교육청,경기도화성오산교육지원청,37.16650771,127.1111377
화성세정중학교,중학교,2022,공립,경기도 화성시 동탄순환대로12길 60,경기도교육청,경기도화성오산교육지원청,37.16716681,127.1247594
집현중학교,중학교,2022,공립,세종특별자치시 집현서로 42,세종특별자치시교육청,세종특별자치시교육청,36.49088424,127.3224218
인천아라중학교,중학교,2022,공립,인천광역시 서구 서로2로 50,인천광역시교육청,인천광역시서부교육지원청,37.58564177,126.70396
인천현송중학교,중학교,2022,공립,인천광역시 연수구 인천타워대로 323(송도동),인천광역시교육청,인천광역시동부교육지원청,37.39952317,126.6295727
온샘초등학교,초등학교,2022,공립,부산광역시 동래구 충렬대로75번길 25,부산광역시교육청,부산광역시동래교육지원청,35.20952094,129.0687106
군산금빛초등학교,초등학교,2022,공립,전라북도 군산시 궁포3로 48,전라북도교육청,전라북도군산교육지원청,35.97960611,126.742223
한들물빛초등학교,초등학교,2022,공립,충청남도 아산시 선문로254번길 142,충청남도교육청,충청남도아산교육지원청,36.78337949,127.0841776
오션중학교,중학교,2022,공립,부산광역시 강서구 명지오션시티1로 221,부산광역시교육청,부산광역시북부교육지원청,35.08044246,128.9095993
한들물빛중학교,중학교,2022,공립,충청남도 아산시 선문로254번길 167,충청남도교육청,충청남도아산교육지원청,36.78534308,127.0886642
다산새봄중학교,중학교,2022,공립,경기도 남양주시 다산순환로 435,경기도교육청,경기도구리남양주교육지원청,37.61823476,127.1588304
나래중학교,중학교,2022,공립,경기도 김포시 김포한강9로 19,경기도교육청,경기도김포교육지원청,37.63888658,126.6258995
범박중학교,중학교,2022,공립,경기도 부천시 양지남로 69-16,경기도교육청,경기도부천교육지원청,37.46910251,126.814668
