"lodID","title","pubYear","abst"
"7777748","Potential Implications and Applications of Terror Management Theory for Library and Information Science","2020","Mental health experts warn the combination of overwhelming amounts of information, economic instability, political discontent, social injustice, and the high infection and death rates of the ongoing COVID-19 pandemic are negatively impacting mental health in ways that may worsen the pandemic and intensify our primal fear of death. Terror Management Theory (TMT) argues that self-esteem and cultural worldviews serve as defenses against the terror of our own mortality. This theory anchor paper introduces TMT to Library and Information Science (LIS) via a selected literature review on TMT's use in the field of Psychology and an extensive discussion on the conceptual connections to LIS supported with empirical research from related disciplines and contexts. The implications, applications, and usefulness of TMT for LIS research, education, and practice are discussed in relation to the COVID-19 pandemic and other contexts, and a research agenda is proposed."
"7777747","국내 대학기록관의 온라인 홍보 활동 분석 및 평가 - 웹사이트를 중심으로 -","2020","본 연구는 대학기록관의 온라인 홍보 활동을 평가하기 위한 지표를 개발하여 평가하고, 이를 바탕으로 개선방안을 논의하는 것을 목적으로 한다. 이를 위해 첫째, 대학기록관 홍보의 개념과 정의에 근거하여 평가가 이루어져야 하는 항목들을 유형화하고 둘째, 기록관을 비롯한 유관문화유산기관들과 비영리기관의 온라인 홍보 평가지표들을 취합하여 4가지 영역에서의 홍보 평가지표를 도출하였다. 셋째, 개발된 평가지표를 활용하여 대학기록관 웹사이트를 구축하여 기록정보서비스를 제공하고 있는 10개 기관을 선정하여 홍보 활동과 내용을 평가하였다. 평가결과, 대부분의 대학기록관은 기록정보서비스와 홍보가 부재하거나 미비함을 확인할 수 있었고, 기록정보서비스가 개발되어 있다 하더라도 적극적인 안내가 이루어지고 있지 않음을 확인할 수 있었다. 이 결과에 근거하여 온라인 홍보 활동을 활성화하기 위한 개선방안들과 후속연구를 제언하였다."
"7777746","다크 아카이브 운영 효율화를 위한 정보패키지 구축","2020","다크 아카이브를 통해 다양한 유형의 전자기록물을 장기적으로 보존하는 활동은 그 중요성이 점차 증대하고 있으나, 현재 다크 아카이브에서는 전자기록물 장기보존을 위한 최적화된 정보패키지 구조가 마련되어 있지 않다. 이에 본 연구에서는 다크 아카이브의 핵심적인 프로세스를 중심으로 OAIS 참조모델 정보패키지를 재구성하여 4개의 카테고리를 제안하였다. 각 카테고리의 세부 기술항목은 OAIS 참조모델, ISO 23081, 기록관리 메타데이터 표준, ISAD(G), ISAAR(CPF), ISDF, ISDIAH를 기반으로 총 4개의 상위요소와 27개의 하위요소로 구성하였다. 이는 다크 아카이빙에 최적화된 정보패키지 구성의 기반으로 활용될 수 있으며, 전자기록물의 장기 보존을 보다 효율적으로 지원할 수 있을 것으로 기대된다."
"7777745","WoS와 SCOPUS에 등재된 국내 발행 학술지의 편집위원회 구성 분석 - 사회과학 분야를 중심으로 -","2020","학술지의 질적 수준을 제고하고 국제적 이용도를 높이기 위한 방안 가운데 하나로 편집위원회 구성의 중요성이 높아지고 있다. 본 연구에서는 사회과학 분야의 국내 발행 학술지 가운데 WoS와 SCOPUS에 등재된 학술지를 대상으로 편집위원회(Editorial Board Member: EBM)의 구성을 분석하여 학술지의 국제화를 도모하기 위한 고려사항을 도출하였다. 연구 결과, 사회과학 분야 학술지의 국제화를 위해서는 이론과 실무의 융합을 도모할 수 있는 EBM의 구성, EBM의 업무 효율화를 위한 지역적 측면의 고려, 영어 기반의 학술 커뮤니케이션 효율화를 고려한 EBM의 구성, 학계와 현장을 연계할 수 있는 연구진의 EBM 참여 등을 고려해야 하는 것으로 분석되었다."
"7777744","국내 문헌정보학 분야 학술지의 인용 네트워크분석","2020","본 연구는 인용 네트워크 분석을 통해 국내 문헌정보학 분야의 주요 학술지간의 인용관계를 살펴보고자 하였다. 이를 위해 한국학술지인용색인에 기재된 국내 문헌정보학 분야 4개 학술지의 논문 4,471편과 이 논문들을 인용한 18,424건의 인용정보를 수집하여 학술지간 인용네트워크 분석을 수행하였다. 문헌정보학 분야에서 인용을 가장 많이 받았던 학술지는 한국문헌정보학회지로, 한국문헌정보학회지의 주요 연구주제들이 인용을 통해 문헌정보학 내부 연구 분야에 영향을 주고 있는 것으로 나타났다. 한국문헌정보학회지와 한국도서관&#183;정보학회지의 상호인용이 많았으며, 정보관리학회지의 연구주제 중 연구동향분석이나 지적구조분석과 관련된 연구들이 문헌정보학 이외의 분야로부터 많은 인용을 받아, 문헌정보학 외부의 영역에 영향을 미치고 있는 것으로 파악되었다."
"7777743","공공도서관 고객 규모의 영향요인에 대한 시계열분석","2020","본 연구는 2014년부터 2019년까지의 전국도서관통계를 활용하여 공공도서관 고객(방문자 및 자료실이용자) 규모에 미치는 영향요인을 시계열적으로 분석했다. 분석 결과를 요약하면 다음과 같다. 첫째, 장서수나 연속간행물 등의 변수가 고객 규모에 미치는 영향력은 6년에 걸쳐 지속적으로 유의하지 않게 나타났다. 이는 도서관의 전통적인 기능이었던 일반 도서와 간행물에 대한 접근 서비스가 인터넷으로 대체되고 있음을 암시한다. 둘째, 문화 및 도서프로그램 요인, 도서관 운영 요인, 이용자 활동 요인, 시설규모 요인들이 공공도서관 고객 규모에 미치는 영향력이 소장자료 요인보다 더 크고 지속적이다. 이는 이들 영역에서는 도서관이 인터넷과 보완관계에 있음을 의미한다."
"7777742","임산공학 분야 연구데이터 관리를 위한 메타데이터 설계에 관한 연구","2020","최근 많은 학문 분야에서 해당 분야에서 생산되는 데이터를 관리하기 위한 메타데이터를 개발하고 있다. 범용적인 분야를 넘어서 특정 학문 분야를 지원하기 위한 메타데이터는 해당 분야의 연구데이터를 검색, 관리, 공유 및 재사용을 위한 필수한 것으로 여겨지고 있다. 따라서 본 연구에서는 임산공학에서 생산되는 연구데이터를 관리하기 위한 메타데이터 항목을 도출하였다. 메타데이터 항목을 도출하기 위하여 FGDC-CSDGM, ISO 19115, NEFIS, INSPIRE, ANZLIC, DataCite 4.3 그리고 TTA,KO-10.0976 등 7개 메타데이터를 대상으로 매핑작업을 진행하였다. 연구 결과, 필수 6개, 권고 13개 그리고 선택 요소 9개가 도출되었다. 도출된 메타데이터는 임산공학 분야의 연구데이터를 체계적으로 관리하기 위한 항목으로 활용될 수 있을 것이다."
"7777741","구조방정식 모형을 적용한 대학도서관 재이용과 추천의향에 영향을 미치는 품질요소에 관한 연구","2020","본 연구의 목적은 선행연구에서 도출된 대학도서관 서비스 품질요소를 대상으로 재이용과 추천의향에 영향을 미치는 요인이 무엇인지 구조방정식 모형을 적용하여 분석하고자 하는 것이다. 2020.4.30.부터 2020.5.10.까지 11일간 이용자 그룹(학부생, 대학원생, 교수/강사) 총 127명을 대상으로 재이용과 추천의향에 대한 설문 조사를 실시하였다. 분석 결과는 다음과 같다. '자료'와 '서비스 고객화'는 재이용에 영향을 미치는 품질 차원으로 나타났으며, 재이용은 추천의향에 영향을 미치는 것으로 나타나 '자료'와 '서비스 고객화'가 재이용 뿐만 아니라 추천의향에도 영향을 미치는 것으로 분석되었다. 또한 '서비스 고객화'는 추천의향에 직접적으로 영향을 미치는 요인으로 나타났다. 이를 바탕으로 이용자의 요구가 다변화하고 개인화되고 있는 도서관 환경에서 도서관 서비스와 마케팅에 고객화 개념을 적용하는 방안을 제시하였다."
"7777740","국내 문헌정보학과 대학원 교과과정에 대한 연구","2020","본 연구에서는 2005년부터 2020년까지 약 15년간의 문헌정보학과 석&#183;박사교과과정의 변화를 3년~4년 단위로 분석하였다. 연구 결과를 바탕으로 문헌정보학과 대학원 교과과정을 체계적으로 연구할 수 있는 기초적인 자료를 제공하고, 교과과정의 흐름을 읽고, 이를 기반으로 세계적인 경쟁력을 갖춘 정보전문가를 양성하는 데 활용되도록 하고자 하였다. 연구 결과, 첫째, 2017년과 2020년의 교과목 수의 변동비율을 비교해 보았을 때, 총 3.70%가 감소하였고, 유일하게 증가율을 보인 분야는 기록관리학(3.33%)이었다. 서지학(-11.65%), 정보학(-4.89%), 도서관&#183;정보센터 경영학(-3.62%), 문헌정보학 일반(-3.13%), 정보조사제공학(-4.10%)은 감소한 것으로 나타났으며, 정보조직학은 교과목 수의 변화는 없는 것으로 나타났다. 둘째, 2020년에는 정보학이 25.15%로 가장 높은 비율로 개설되어 있고, 도서관&#183;정보센터경영학(21.30%), 정보조사제공학(15.05%), 문헌정보학일반(12.35%), 정보조직학(11.27%), 서지학(7.95%), 기록관리학(6.94%) 순으로 개설된 것으로 나타났다."
"7777739","공공도서관 평가 영향 요인 분석 - 충청남도내 공공도서관을 대상으로 -","2020","본 연구에서는 충청남도에 소재한 공공도서관의 평가자료를 활용하여 공공도서관의 소속기관과 규모에 따른 평가그룹간 평균에 차이가 존재하는지를 비교 분석하였으며, 공공도서관의 방문객수에 미치는 영향요인을 분석하였다. 연구데이터는 충청남도에서 2020년에 실시한 공공도서관 평가데이터를 사용하였으며, 정량평가 4개 영역과 9개 세부항목을 독립변수로 설정하였다. 통계분석방법은 T검정(T-test), 분산분석(ANOVA), 회귀분석(Regreesion)을 사용하였다. 분석결과 소속기관과 규모에 따른 평가그룹의 평균은 모두 유의한 차이가 존재하는 것으로 나타났다. 또한 공공도서관의 방문객수에 영향을 미치는 요인들을 분석하여 제시하였다. 분석결과를 바탕으로 시사점을 도출하였으며, 향후 공공도서관 정책수립의 근거로 활용할 수 있을 것이다."
